Aachenerin,Aachener
Abfallstrom,Waste stream
Abfallströme,Waste streams
Abfallströmen,Waste streams
Abfallstromes,Waste stream
Abfallstück,Scrap piece
Abfallstücke,Waste pieces
Abfallstücken,Waste pieces
Abfallstücks,Scrap piece
Abfallsünder,Garbage sinner
Abfallsünderin,Garbage sinner
Abfallsündern,Garbage offenders
Abfallsystem,Waste system
Abfallsysteme,Waste systems
Abfallsystemen,Waste systems
Abfallsystems,Waste system
abfallt,falls away
abfällt,falls off
Abfalltank,Waste tank
Abfalltanks,Waste tanks
Abfalltasche,Garbage bag
Abfalltaschen,Garbage bags
Abfalltechnik,Waste technology
Abfalltechniken,Waste techniques
Abfalltemperaturen,Drop temperatures
Abfalltonne,Garbage can
Abfalltonnen,Garbage cans
Abfalltourismus,Waste tourism
Abfalltrennung,Waste separation
Abfalltrennungen,Separation of waste
Abfalltreteimer,Pedal bin
Abfalltreteimern,Trash cans
Abfalltreteimers,Trash pedal bin
Abfalltunnel,Waste tunnel
Abfalltunneln,Waste tunnels
Abfalltunnels,Waste tunnels
Abfalltüten,Garbage bags
Abfallübernehmer,Waste acceptor
Abfallübernehmers,Waste acceptor
Abfallumwandlung,Waste conversion
Abfallverarbeitung,Waste processing
Abfallverarbeitungen,Waste processing
Abfallverbrennung,Waste incineration
Abfallverbrennungsanlage,Waste incineration plant
Abfallverbrennungsanlagen,Waste incineration plants
Abfallverbrennungsofen,Waste incinerator
Abfallverbrennungsofens,Waste incinerator
Abfallverbringung,Shipment of waste
Abfallverdichter,Trash compactor
Abfallverdichtern,Trash compactors
Abfallverdichters,Trash compactor
Abfallverfestigung,Solidification of waste
Abfallvergasung,Waste gasification
Abfallverkippung,Waste dumping
Abfallverkippungen,Waste dumping
Abfallvermeidung,Waste prevention
Abfallvermeidungen,Waste avoidance
Abfallverminderung,Waste reduction
Abfallvernichtung,Waste destruction
Abfallvernichtungen,Waste destruction
Abfallverordnung,Waste Ordinance
Abfallverordnungen,Waste regulations
Abfallverringerung,Waste reduction
Abfallverursacher,Waste producer
Abfallverursachers,Waste producer
Abfallverwertern,Recycle waste
Abfallverwerters,Waste recycler
Abfallverwertungen,Waste recycling
Abfallverwertungsanlage,Waste treatment plant
Abfallverwertungsanlagen,Waste recycling plants
Abfallverwertungssysteme,Waste recovery systems
Abfallverwertungssystemen,Waste recovery systems
Abfallverwertungssystems,Waste recycling system
Abfallverzeichnisses,Waste directory
Abfallverzeichnisverordnung,Waste Catalog Ordinance
Abfallverzeichnisverordnungen,Waste directory regulations
Abfallverzögerungen,Dropout delays
Abfallvolumen,Waste volume
Abfallvolumens,Waste volume
Abfallvorbehandlung,Waste pretreatment
Abfallvorkommen,Waste occurrence
Abfallvorkommens,Waste occurrence
Abfallwagens,Garbage truck
Abfallwasser,Waste water
Abfallweizen,Waste wheat
Abfallweizens,Waste wheat
Abfallwinkel,Drop angle
Abfallwinkeln,Drop angles
Abfallwirtschaften,Waste management
Abfallwirtschaftler,Waste manager
abfallwirtschaftlich,waste management
abfallwirtschaftliche,waste management
abfallwirtschaftlichem,waste management
abfallwirtschaftlichen,waste management
Abfallwirtschaftsbetriebe,Waste management companies
Abfallwirtschaftsgesellschaft,Waste management company
Abfallwirtschaftskonzept,Waste management concept
Abfallwirtschaftskonzepte,Waste management concepts
Abfallwirtschaftskonzeptes,Waste management concept
Abfallwirtschaftskonzeption,Waste management concepts
Abfallwirtschaftsplanung,Waste management planning
Abfallwirtschaftsverband,Waste Management Association
Abfallwirtschaftsverbandes,Waste Management Association
Abfallwirtschaftszweckverbandes,Waste management association
Abfallzeit,Fall time
Abfallzerkleinerern,Waste shredders
Abfallzerkleinerungsmaschinen,Waste shredding machines
abfälschender,more false
Abfangmanöver,Interception maneuvers
Abfangmanövers,Interception maneuver
Abfangmeldung,Interception message
Abfangmission,Interception mission
Abfangnetz,Safety net
Abfangoffiziers,Interception officer
Abfangradars,Interception radars
Abfangraketen,Interceptor missiles
Abfangraumschiffe,Interceptor spaceships
Abfangraumschiffen,Interceptors
Abfangreaktion,Trapping reaction
Abfangsatelliten,Interception satellites
Abfangschaltantriebs,Interception drive
Abfangschaufel,Interception shovel
Abfangscheiben,Intercept washers
Abfangschiene,Interception rail
Abfangschienen,Interception rails
Abfangschnellschlussventile,Interception quick-closing valves
Abfangstauseen,Interception reservoirs
Abfangstrecken,Intercepts
Abfangsysteme,Interception systems
Abfangsystems,Interception system
Abfangtaktik,Interception tactics
Abfangung,Interception
Abfangventil,Interception valve
Abfangventile,Interception valves
Abfangventilen,Interception valves
Abfangventils,Interception valve
Abfangverfahren,Interception procedures
Abfangverfahrens,Interception procedure
Abfangversuch,Trapping attempt
Abfangversuche,Trapping attempts
Abfangversuchen,Trapping attempts
Abfangversuchs,Trapping attempt
Abfangwaffe,Interceptor weapon
Abfangwaffen,Interceptor weapons
Abfangwasser,Catch water
Abfangwassern,Waste water
Abfangwirkung,Interception effect
Abfangzentralen,Interception centers
abfärbe,rub off
abfärbendem,rubbing off
abfärbenden,rubbing off
abfärbender,rubbing off
abfärbendes,rubbing off
Abfärbens,Rubbing off
abfärbt,rubs off
abfärbte,rubbed off
abfärbten,rubbed off
abfärbtet,rubs off
Abfärbung,Discoloration
abfassen,draft
abfassend,drafting
abfassende,drafting
abfassendem,drafting
abfassenden,drafting
abfassender,more comprehensive
abfassendes,drafting
Abfassens,Drafting
abfasste,drafted
abfassten,drafted
abfasstet,drafted
Abfassung,Drafting
Abfassungen,Drafts
Abfassungsort,Composition location
Abfassungsorte,Composition locations
Abfassungsorten,Composition locations
Abfassungsortes,Location
Abfassungszeit,Completion time
Abfassungszeiten,Drafting times
Abfassungszeitraumes,Drafting period
abfaule,rotten
abfaulen,rot
abfaulend,decaying
abfaulende,decaying
abfaulendem,decaying
abfaulenden,rotting
abfaulender,rotting
abfaulendes,decaying
abfaulst,rots
abfault,decays
abfaulte,rotten
abfaulten,rotten
abfaultest,decay
abfaultet,rots
abfederbarem,cushionable
abfederbaren,cushionable
abfederbares,cushionable
abfedere,cushion
abfedern,cushion
abfedernde,cushioning
abfederndem,cushioning
abfedernden,cushioning
abfedernder,cushioning
abfederndes,cushioning
Abfederns,Cushioning
abfederst,cushioned
abfedert,cushions
abfederte,cushioned
abfederten,cushioned
abfedertest,cushion test
abfedertet,cushioned
Abfederung,Cushioning
abfedre,cushion
abfege,sweep
abfegen,sweep away
abfegend,sweeping away
abfegende,sweeping
abfegendem,sweeping
abfegenden,sweeping
abfegender,sweeping
abfegendes,sweeping
Abfegens,Sweeping away
abfegst,swept away
abfegt,sweeps away
abfegte,swept away
abfegten,swept away
abfegtest,sweep test
abfegtet,swept away
abfeiere,celebrate
abfeiern,partying
abfeiernd,partying
abfeiernde,partying
abfeierndem,partying
abfeiernden,partying
abfeiernder,partying
abfeierndes,partying
Abfeierns,Partying
abfeierst,partying
abfeiert,celebrated
abfeierte,celebrated
abfeierten,partying
abfeiertest,celebrated
abfeiertet,celebrated
abfeile,file down
abfeilen,file down
abfeilend,filing down
abfeilende,filing off
abfeilendem,filing off
abfeilenden,filing down
abfeilender,filing down
abfeilendes,filing
Abfeilens,Filing down
abfeilst,filing down
abfeilt,files down
abfeilte,filed down
abfeilten,filed down
abfeiltest,filing down
abfeiltet,files down
Abferkelbucht,Farrowing pen
Abferkelbuchten,Farrowing pens
abfertige,dispatch
abfertigen,clear
abfertigend,dispatching
abfertigende,dispatching
abfertigendem,dispatching
abfertigenden,dispatching
abfertigender,dispatcher
abfertigendes,dispatching
Abfertigens,Dispatching
Abfertiger,Dispatcher
Abfertigerin,Handler
Abfertigern,Dispatchers
Abfertigers,Dispatcher
abfertigst,dispatch
abfertigt,dispatches
abfertigte,cleared
abfertigten,cleared
abfertigtest,dispatched
abfertigtet,dispatches
Abfertigung,Clearance
Abfertigungen,Clearance
Abfertigungsagent,Handling agent
Abfertigungsanlage,Check-in facility
Abfertigungsanlagen,Handling systems
Abfertigungsart,Handling type
Abfertigungsarten,Types of handling
Abfertigungsbaracke,Terminal barrack
Abfertigungsbaracken,Dispatch barracks
Abfertigungsbeamte,Clearance officials
Abfertigungsbeamten,Clearance officers
Abfertigungsbeamtin,Clearance officer
Abfertigungsbefugnis,Clearance authorization
Abfertigungsbefugnisse,Handling powers
Abfertigungsbefugnissen,Clearance powers
Abfertigungsbereich,Check-in area
Abfertigungsbereiche,Check-in areas
Abfertigungsbereichen,Check-in areas
Abfertigungsbereiches,Check-in area
Abfertigungsbereichs,Check-in area
Abfertigungsdienst,Clearance service
Abfertigungsdienste,Clearance services
Abfertigungsdiensten,Clearance services
Abfertigungsdienstes,Clearance service
Abfertigungseinrichtung,Check-in facility
Abfertigungseinrichtungen,Handling facilities
Abfertigungsfeld,Handling field
Abfertigungsformalitäten,Clearance formalities
Abfertigungsgebäude,Terminal building
Abfertigungsgebäuden,Terminal buildings
Abfertigungsgebäudes,Terminal building
Abfertigungsgebühr,Handling fee
Abfertigungsgebühren,Handling charges
Abfertigungsgeld,Severance payment
Abfertigungsgesellschaft,Handling company
Abfertigungsgesellschaften,Handling companies
Abfertigungsgruppe,Handling group
Abfertigungsgruppen,Handling groups
Abfertigungshalle,Check-in hall
Abfertigungshallen,Clearance halls
Abfertigungshäuschen,Terminal booth
Abfertigungshäuschens,Terminal building
Abfertigungsinfrastruktur,Handling infrastructure
Abfertigungskapazität,Handling capacity
Abfertigungskapazitäten,Handling capacities
Abfertigungskasse,Severance checkout
Abfertigungskassen,Check-in tills
Abfertigungsleistung,Dispatch management
Abfertigungsleistungen,Handling services
Abfertigungsleiter,Dispatch manager
Abfertigungsleitern,Dispatch ladders
Abfertigungsleiters,Dispatch manager
Abfertigungspapiere,Clearance papers
Abfertigungspapieren,Clearance papers
Abfertigungsposition,Dispatch position
Abfertigungspositionen,Dispatch positions
Abfertigungsrate,Clearance rate
Abfertigungsrecht,Clearance right
Abfertigungsrechte,Handling rights
Abfertigungsrechten,Handling rights
Abfertigungsrechtes,Clearance right
Abfertigungsrechts,Severance rights
Abfertigungsressource,Handling resource
Abfertigungsschalter,check-in counter
Abfertigungsschalters,Check-in counter
Abfertigungsschein,Clearance slip
Abfertigungsscheine,Clearance receipts
Abfertigungsschiffe,Handling ships
Abfertigungsschiffen,Handling ships
Abfertigungsschreibtischen,Check-in desks
Abfertigungsschritt,Clearance step
Abfertigungssignal,Clearance signal
Abfertigungssignale,Clearance signals
Abfertigungssignals,Clearance signal
Abfertigungsterminal,Dispatch terminal
Abfertigungsterminals,Clearance terminals
Abfertigungstest,Clearance test
Abfertigungstests,Clearance tests
Abfertigungstore,Clearance gates
Abfertigungstoren,Check-in gates
Abfertigungstrakt,Clearance wing
Abfertigungstraktes,Clearance wing
Abfertigungsverfahren,Clearance procedures
Abfertigungsverfahrens,Clearance procedure
Abfertigungsvertrag,Severance agreement
Abfertigungsvertrages,Severance agreement
Abfertigungsvorgang,Clearance process
Abfertigungsvorganges,Clearance process
Abfertigungsvorschrift,Handling regulations
Abfertigungsvorschriften,Handling regulations
Abfertigungszeit,Clearance time
Abfertigungszeiten,Handling times
Abfertigungszentrum,Dispatch center
Abfertigungszentrums,Dispatch center
abfeuern,firing
abfeuernd,firing
abfeuerndem,firing
abfeuerndes,firing
abfeuertest,fired
abfeuertet,fires
Abfeuerung,Firing
Abfeuerungen,Firings
abficken,fuck off
abfickst,fucking
abfickte,fucked up
abfiel,fell off
abfielen,fell off
abfielt,dropped off
abfilme,film
abfilmen,film
abfilmend,filming
abfilmende,end of the film
abfilmendem,filming
abfilmenden,filming
abfilmten,filmed
abfiltern,filter off
abfilternd,filtering
abfilterndem,filtering
abfilternder,filtering
abfilterst,filter
abfilterten,filtered off
abfiltrieren,filter off
abfiltrierende,filtering
abfiltrierender,filtering
abfiltrierendes,filtering
abfiltrierter,filtered off
abfing,intercepted
abfingerndem,fingering
abfische,fish off
abfischende,end of fishing
abfischender,fishing
abfischtest,fished out
abfischtet,fishes
abflachend,flattening
abflachendem,flattening
abflachendes,flattening
Abflachens,Flattening
abflachst,flattens
abflachte,flattened
abflachtest,flatten
abflachtet,flattens
Abflachung,Flattening
Abflachungen,Flats
abflämmen,flame
abflämmende,flaming
abflämmendem,flaming
abflämmenden,flaming
abflämmender,flaming
Abflammgerät,Flaming device
Abflammgeräten,Flame burners
Abflammgerätes,Flaming device
abflämmst,flames
abflämmt,flames
abflämmten,torched
abflämmtest,flame test
abflämmtet,flamed
abflauen,to wane
abflauende,waning
abflauendem,waning
abflauenden,waning
abflauender,waning
abflaute,subsided
abflauten,to abate
abflautest,are subsiding
abflexe,flexed
abflexen,flex off
abflexend,deflecting
abflexende,flexing
abflexendem,flexing
abflexenden,deflecting
abflexender,more flexible
abflexendes,flexing
abflexten,flexed
abflextest,flex test
abfliege,take off
abfliegen,depart
abfliegend,departing
abfliegende,departing
abfliegenden,departing
abfliegender,departing
abfliegendes,departing
Abfliegens,Take off
abfliegst,departing
abfliegt,takes off
abfließe,drain
abfließen,flow away
abfließend,draining
abfließende,outflowing
abfließenden,outflowing
abfließender,more draining
abfließendes,outflowing
Abfließens,Drainage
abfließest,drained
abfließt,drains
abflog,flew off
abflöge,departing
abflogen,departed
abflögen,depart
abflöget,fled off
abflogst,flew off
abflogt,flew off
abfloss,drained
abflösse,drain
abflossen,flowed off
abflössen,drain
Abflugbereich,Departure area
Abflugbereiche,Departure areas
Abflugbereichen,Departure areas
Abflugbereiches,Departure area
Abflugbereichs,Departure area
abflugbereit,ready to take off
abflugbereite,ready for departure
abflugbereitem,ready for departure
abflugbereiten,ready to take off
abflugbereiter,departure ready
abflugbereites,ready for departure
Abflugdatum,Departure date
Abflugdatums,Departure date
Abflüge,Departures
Abflugebene,Departures Level
Abflügen,Departures
Abfluges,Departure
Abflugfeld,Departure field
Abflugfelder,Departure fields
Abflugfeldern,Departure fields
Abflugfeldes,Departure field
Abflugflughafen,Departure Airport
Abflugflughäfen,Departure airports
Abflugflughafens,Departure airport
Abflugfrequenz,Departure frequency
Abflugfrequenzen,Departure frequencies
Abfluggeschwindigkeit,Departure speed
Abfluggeschwindigkeiten,Departure speeds
Abfluggewicht,Take-off weight
Abfluggewichte,Take-off weights
Abfluggewichten,Takeoff weights
Abfluggewichtes,Take-off weight
Abflughafen,Departure airport
Abflughäfen,Departure airports
Abflughafens,Departure airport
Abflughalle,Departure lounge
Abflughallen,Departure halls
Abfluginformation,Departure information
Abflugkontrolle,Departure control
Abflugkontrollen,Departure controls
Abflugland,Departure country
Abfluglandes,Departure country
Abflugmasse,Take-off mass
Abflugmassen,Take-off masses
Abflugmeldung,Departure notification
Abflugmeldungen,Departure reports
Abflugort,Place of departure
Abflugorte,Departure locations
Abflugorten,Departure locations
Abflugphase,Departure phase
Abflugphasen,Departure phases
Abflugplan,Departure schedule
Abflugpläne,Departure schedules
Abflugplänen,Departure schedules
Abflugplans,Departure schedule
Abflugplatz,Departure point
Abflugplätze,Departure points
Abflugplätzen,Departure areas
Abflugplatzes,Departure airport
Abflugposition,Departure position
Abflugpositionen,Departure positions
Abflugpunkt,Departure point
Abflugpunkte,Departure points
Abflugpunkten,Departure points
Abflugpunktes,Departure point
Abflugrichtung,Departure direction
Abflugrichtungen,Departure directions
Abflugring,Departure ring
Abflugroute,Departure route
Abflugrouten,Departure routes
Abflugruf,Departure call
Abflugrufe,Departure calls
Abflugrufen,Departure calls
Abflugs,Departure
Abflugschalter,Departure desk
Abflugschaltern,Departure desks
Abflugschalters,Departure desk
Abflugschneise,Departure lane
Abflugschneisen,Departure lanes
Abflugsektor,Departure sector
Abflugsektoren,Departure sectors
Abflugsektors,Departure sector
Abflugshalle,Departure hall
Abflugshallen,Departure lounges
Abflugsort,Place of departure
Abflugsorte,Departure locations
Abflugsorten,Departure locations
Abflugsortes,Place of departure
Abflugsorts,Departure locations
Abflugsteig,Departure gate
Abflugsteige,Departure gates
Abflugsteigen,Departure gates
Abflugsteigs,Departure gate
Abflugstrecke,Departure route
Abflugstrecken,Departure routes
Abflugszeit,Departure time
Abflugszeiten,Departure times
Abflugtafel,Departure board
Abflugtafeln,Departure boards
Abflugtag,Departure day
Abflugtage,Departure days
Abflugtagen,Departure days
Abflugtermin,Departure date
Abflugterminal,Departure terminal
Abflugterminals,Departure terminals
Abflugtermine,Departure dates
Abflugterminen,Departure dates
Abflugtermins,Departure dates
Abflugverfahren,Departure procedure
Abflugverfahrens,Departure procedure
Abflugversuch,Departure attempt
Abflugversuche,Departure attempts
Abflugversuchen,Departure attempts
Abflugversuchs,Attempted departure
Abflugwinkel,Departure angle
Abflugwinkeln,Departure angles
Abflugwinkels,Departure angle
Abflugzeit,Departure time
Abflugzeiten,Departure times
Abfluss,Drain
Abflussänderung,Discharge change
Abflussänderungen,Discharge changes
Abflussanlage,Drainage system
Abflussanlagen,Drainage systems
Abflussanschluss,Drain connection
Abflussanschlusses,Drain connection
abflussarm,low drainage
Abflussarmatur,Drain fitting
Abflussarmaturen,Drain fittings
abflussarme,poor drainage
abflussarmem,low-drainage
abflussarmen,poor drainage
abflussarmer,less drainage
abflussärmer,less drainage
abflussärmere,lower drainage
abflussärmerem,less drainage
abflussärmeren,less drainage
abflussärmerer,less drainage
abflussärmeres,less drainage
abflussarmes,low drainage
abflussärmste,lowest drainage
abflussärmstem,lowest drainage
abflussärmsten,lowest drainage
abflussärmster,lowest drainage
abflussärmstes,lowest drainage
Abflussbedingung,Discharge condition
Abflussbeeinträchtigung,Flow restriction
Abflussbeeinträchtigungen,Drainage impairments
Abflussbehinderung,Drainage obstruction
Abflussbehinderungen,Flow obstructions
Abflussbeiwert,Runoff coefficient
Abflussbeiwerte,Runoff coefficients
Abflussbeiwerten,Discharge coefficients
Abflussberechnung,Discharge calculation
Abflussberechnungen,Discharge calculations
Abflussbereich,Drainage area
Abflussbereichs,Drainage area
Abflussbeutel,Drain bag
Abflussbeuteln,Drain bags
Abflussbeutels,Drainage bag
Abflussbildung,Runoff formation
Abflussbildungen,Drainage formations
Abflussbohrung,Drain hole
Abflussbohrungen,Drainage holes
Abflussdaten,Discharge data
Abflussdauerlinie,Discharge duration line
Abflussdauerlinien,Discharge duration curves
Abflussdeckel,Drain cover
Abflussdeckeln,Drain caps
Abflussdeckels,Drain cover
Abflussdiagramm,Flow chart
Abflussdiagramme,Flow charts
Abflussdiagrammen,Flow diagrams
Abflussdiagramms,Flow chart
Abflussdrosselung,Outflow restriction
Abflussdrosselungen,Discharge restriction
Abflussdruck,Discharge pressure
Abflussdynamik,Discharge dynamics
Abflussdynamiken,Runoff dynamics
Abflüsse,Drains
Abflüssen,Drains
Abflusserhöhungen,Increased drainage
Abflusses,Drain
Abflussfehler,Drainage fault
Abflussfehlern,Drainage failures
Abflussfehlers,Outflow failure
Abflussfistel,Drainage fistula
Abflussfisteln,Drainage fistulas
Abflussform,Drain shape
Abflussformen,Drainage forms
Abflussfüllen,Drain filling
Abflussgang,Drainage
Abflussganges,Drainage duct
Abflussganglinien,Discharge hydrographs
Abflussgebiet,Drainage area
Abflussgebietes,Drainage area
Abflussgeschehen,Drainage events
Abflussgeschwindigkeit,Flow rate
Abflussgeschwindigkeiten,Runoff velocities
Abflussgewässer,Drainage waters
Abflussgewässern,Drainage waters
Abflussgewässers,Runoff water
Abflussgitters,Drain grate
Abflussgrube,Drainage pit
Abflussgruben,Drainpits
Abflusshahn,Drain tap
Abflusshindernis,Drainage obstruction
Abflusshindernisse,Flow obstacles
Abflusshindernissen,Flow obstacles
Abflusshindernisses,Drainage obstruction
Abflusshöhen,Discharge heights
Abflussintensität,Discharge intensity
Abflussintensitäten,Discharge intensities
Abflussjahr,Discharge year
Abflussjahre,Discharge years
Abflusskanälen,Drainage channels
Abflusskanals,Drainage channel
Abflusskoeffizienten,Discharge coefficient
Abflusskontrolle,Drain control
Abflusskurven,Discharge curves
Abflussleistung,Discharge capacity
Abflussleistungen,Drainage services
Abflusslinie,Drain line
Abflusslinien,Drain lines
Abflusslöcher,Drainage holes
abflussloses,drainless
Abflusslosigkeit,No drainage
Abflussmessung,Discharge measurement
Abflussmitteln,Drainage means
Abflussventil,Drain valve
Abflussventile,Drain valves
abflussverdoppelnder,drain doubling
Abflussverhalten,Drainage behavior
Abflussverhaltens,Drainage behavior
Abflussvermögen,Drainage capacity
Abflussvermögens,Drainage capacity
Abflusswasser,Drain water
Abflusszuwachs,Increase in discharge
Abflusszuwachses,Discharge increase
abflute,flood
abfluten,flood
abflutete,flooded
abfluteten,flooded
Abfolgen,Sequences
abfolgendem,subsequent
abfolgenden,successive
abfolgender,subsequent
abfolgendes,subsequent
Abfolgepläne,Sequence plans
Abfolgeplans,Schedule
abfordere,demand
Abfördermengen,Discharge quantities
abfordernd,demanding
abfordernde,demanding
abfordernden,demanding
abfordernder,demanding
abforderndes,demanding
abfordert,demands
abfordertest,requested
Abförderung,Removal
abfordre,demand
abforme,impressions
abformen,molding
abformend,molding
abformende,impression taking
abformendem,molding
abformenden,take an impression
abformender,molding
abformendes,molding
Abformmaterials,Impression material
Abformsilikon,Impression silicone
abformst,molding
abformten,take an impression
abformtest,impression test
Abformung,Impression
Abformungen,Impressions
Abformverfahren,Molding process
Abformverfahrens,Molding process
Abformwerkzeugen,Impression tools
Abformwerkzeugs,Impression tool
Abforsten,Deforestation
Abforstens,Deforestation
Abforstungen,Deforestation
abfotografiere,take a picture
abfotografieren,take a picture
abfotografierend,photographing
abfotografierende,photographing
abfotografierendem,photographing
abfotografierendes,photographing
abfotografiert,photographed
abfotografierte,photographed
abfotografiertem,photographed
abfotografierten,photographed
abfotografierter,photographed
abfotografiertes,photographed
abfotografiertest,photographed
abfotografiertet,photographed
abfragbar,queryable
abfragbare,queryable
abfragbarem,queryable
abfragbaren,queryable
abfragbarer,queryable
abfragbares,queryable
abfrage,query
Abfragebearbeitung,Query processing
Abfragebearbeitungen,Query processing
Abfragebequemlichkeit,Query convenience
Abfragedatum,Query date
Abfragedatums,Query date
Abfrageeinheit,Interrogation unit
Abfrageeinheiten,Query units
Abfrageeinrichtung,Interrogator
Abfrageeinstellung,Query setting
Abfrageeinstellungen,Query settings
Abfrageendgerät,Query terminal
Abfrageendgeräten,Query terminals
Abfrageendgeräts,Query terminal
Abfrageergebnisse,Query results
Abfrageergebnissen,Query results
Abfrageergebnisses,Query result
Abfrageformular,Query form
Abfrageformulare,Query forms
Abfrageformularen,Query forms
Abfragefrequenz,Polling frequency
Abfragefrequenzen,Query frequencies
Abfragefunktion,Query function
Abfragefunktionen,Query functions
Abfragegerät,Interrogation device
Abfragegeräte,Interrogation devices
Abfragegeräten,Interrogation devices
Abfragegeschwindigkeiten,Query speeds
Abfrageimpulse,Interrogation pulses
Abfrageimpulsen,Interrogation pulses
Abfrageinterface,Query interface
Abfrageintervall,Polling interval
Abfrageintervalle,Query intervals
Abfrageintervallen,Query intervals
Abfragekombination,Query combination
Abfragekombinationen,Query combinations
Abfragekriterium,Query criterion
Abfragekriteriums,Query criteria
Abfragemaske,Query mask
Abfragemasken,Query forms
Abfragemethode,Query method
Abfragemethoden,Query methods
Abfragemodus,Inquiry mode
Abfragemöglichkeit,Query option
Abfragemöglichkeiten,Query options
abfragen,Interrogate
abfragend,interrogating
abfragende,querying
abfragendem,querying
abfragenden,querying
abfragender,inquiring
abfragendes,querying
Abfragens,Querying
Abfrageoperation,Query operation
Abfrageplatz,Inquiry station
Abfrageplätze,Inquiry stations
Abfrageplätzen,Inquiry stations
Abfrageplatzes,Inquiry station
Abfragerate,Polling rate
Abfrageraten,Query rates
Abfrageschalter,Inquiry switch
Abfrageschaltern,Inquiry switches
Abfrageschalters,Query switch
Abfrageschnittstelle,Query interface
Abfrageschnittstellen,Query interfaces
Abfragesequenz,Query sequence
Abfragesequenzen,Query sequences
Abfragesprache,Query language
Abfragesprachen,Query languages
Abfragestation,Answering station
Abfragestationen,Inquiry stations
Abfragestelle,Answering station
Abfragestellen,Answering stations
Abfragestring,Query string
Abfragestringparameter,Query string parameters
Abfragestringparametern,Query string parameters
Abfragestringparameters,Query string parameters
Abfragestrings,Query strings
Abfragesystem,Query system
Abfragesysteme,Query systems
Abfragesystemen,Query systems
Abfragesystems,Query system
Abfragetaste,Query button
Abfragetasten,Inquiry buttons
Abfragetechnik,Query technology
Abfragetechniken,Query techniques
Abfrageterminal,Query terminal
Abfrageterminals,Query terminals
Abfragetext,Query text
Abfragetexte,Query texts
Abfragetexten,Query texts
Abfragetexts,Query text
Abfragetool,Query tool
Abfragetools,Query tools
Abfragetyp,Query type
Abfragetypen,Query types
Abfragetyps,Query type
Abfrageverfahren,Query procedure
Abfrageverfahrens,Query procedure
Abfragewellenlänge,Query wavelength
Abfragewellenlängen,Query wavelengths
Abfragewerkzeug,Query tool
Abfragewerkzeuge,Query tools
Abfragewerkzeugen,Query tools
Abfragewerkzeugs,Query tool
Abfragewert,Query value
Abfragewerte,Query values
Abfragewerten,Query values
Abfragewertes,Query value
Abfragewunsch,Query request
Abfragewünsche,Query requests
Abfragewünschen,Query requests
Abfragezeichen,Query mark
Abfragezeichenfolge,Query string
Abfragezeichenfolgen,Query strings
Abfragezeichens,Query character
Abfragezeit,Query time
Abfragezeiten,Query times
abfragt,queries
abfragte,queried
abfragten,queried
abfragtest,queried
abfragtet,queries
abfräse,milling machine
abfräsen,mill off
abfräsend,milling off
abfräsende,milling
abfräsendem,milling
abfräsenden,milling off
abfräsender,milling away
abfräsendes,milling
abfräsest,mill off
abfräße,erode
abfraßen,erode
abfräßen,mill off
abfraßest,eroded
abfräßest,mill off
abfräßet,mills off
abfraßt,erodes
abfräst,milled off
abfrästen,mill off
abfrästest,milled off
abfrästet,mills off
abfresse,erode
abfressen,erode
abfressend,eroding
abfressende,eroding
abfressendem,eroding
abfressender,eroding
abfressendes,eroding
Abfressens,Erosion
abfreue,regret
abfreuend,rejoicing
abfreut,pleased
abfreute,pleased
abfreuten,pleased
abfriere,freeze off
Abfrierens,Freezing
abfrierst,freeze off
abfrisst,eats away
abfroren,froze off
abfrottierendem,rubbing off
abfrottierenden,abrading
abfrottierender,eroding
Abfrottierens,Toweling off
abfrottiert,rubbed off
abfrottierte,rubbed off
abfrottiertem,rubbed off
abfrottierten,rubbed off
abfrottierter,rubbed off
abfrottiertes,rubbed off
abfrottiertest,rubbed off
abfrühstücke,breakfasts
abfrühstücken,have breakfast
abfrühstückend,having breakfast
abfrühstückende,end of breakfast
abfrühstückendes,breakfast
abfrühstückst,breakfast
abfrühstückt,having breakfast
abfrühstücktest,breakfast test
abfucke,fuck off
abfucken,fuck off
abfuckendem,fucking
abfuckenden,fucking
abfuckendes,fucking
abfuckst,fucking
abfuckte,fucked up
abfucktest,fucked up
abfühlen,feel
abfühlender,more sensitive
abfühlendes,sensitive
abfühlst,feel
abfühlt,feels
abfühlte,felt
abfühltest,felt
abfuhr,departed
Abfuhrbezirk,Collection district
Abfuhrbezirks,Collection district
Abfuhrdienstes,Collection service
abführe,discharge
abführendem,laxative
abführender,laxative
Abführmittels,Laxative
Abfuhrspediteure,Forwarding agents
Abfüllbetriebs,Bottling plant
Abfüllerfirmen,Bottling companies
Abfülljahrs,Bottling year
Abfüllmethode,Filling method
Abfüllprozess,Filling process
Abfüllprozesse,Filling processes
Abfüllprozesses,Filling process
Abfüllraum,Bottling room
abfüllst,bottling
Abfüllstationen,Filling stations
Abfüllsteuerungen,Filling controls
Abfüllstutzen,Filler neck
abfüllte,bottled
Abfülltechnologie,Filling technology
Abfülltechnologien,Filling technologies
abfülltest,filling test
Abfüllvorgang,Filling process
Abfüllvorgänge,Filling operations
Abfüllvorgängen,Filling operations
Abfüllwerke,Bottling plants
Abfüllwerken,Bottling plants
Abfüllwerks,Bottling plant
abfüttere,feed
abfüttern,feed
abfütternde,feeding
abfütterndem,feeding
